platinumid,ntabs,ntabscategory
BZ9_3DA6,288,low
BZE_4KBE,2,low
BZS_4DUK,288,low
BZY_4MTB,4608,medium
C02_1KTT,512,medium
C03_2P4Y,1536,medium
C0M_2O0U,194400,high
C0P_2XHR,1620,medium
C14_5AX0,88938,high
C1E_2RHT,8,low
C1L_3UI7,720,medium
C27_2VA7,6480,medium
C2F_4O1E,77760,high
C2R_2NSL,2376,medium
C2T_4BHG,1296,medium
C2U_3GUG,2,low
C3B_3BD8,270,low
C3D_2OUZ,71280,high
C3M_2C8Y,864,medium
C3O_2HAS,1000000,high
C3S_2HKA,1000000,high
C44_2VIJ,1000000,high
C4M_2C93,864,medium
C5A_2E4W,88,low
C5G_1TZF,1000000,high
C5M_2C8X,62208,high
C5P_1QF9,1188,medium
C6T_4RT3,1000000,high
C72_3PA4,360,low
C73_3PA5,120,low
C88_3V5P,360,low
C93_3WXC,180,low
C9A_3PHE,4320,medium
C9M_4EVI,54,low
CA0_3VER,7128,medium
CA4_2OZ7,891000,high
CAK_2GRU,270,low
CB3_2FTO,13824,high
CB6_2Y71,720,medium
CBC_2ABJ,144,low
CBK_4DOE,2025,medium
CBO_2BEL,1000000,high
CBW_2W4Q,1000000,high
CC5_2I2B,66,low
CCK_3AT4,2160,medium
CCT_2D3U,24,low
CCU_2F7A,3,low
CCW_5AGL,5832,medium
CDJ_4UVN,2,low
CDP_4C81,42768,high
CDT_1UF5,144,low
CDV_1UF7,12,low
CDY_1QYE,198,low
CE3_4PM5,38880,high
CEB_6PRC,648,medium
CEI_4MRY,640,medium
CEK_3LMP,31680,high
CEZ_4ZLF,14580,high
CF1_3HP9,36,low
CF4_2VKG,162,low
CFI_3UXL,36,low
CG4_4PV0,384,low
CG9_4PUZ,720,medium
CGC_4ZLI,2700,medium
CGP_3RID,1000000,high
CGS_2W0D,384,low
CH8_4ALJ,12,low
CHQ_1W1T,1980,medium
CII_2W0A,1080,medium
CIO_1XLX,5280,medium
CIR_4JQO,324,low
CJ5_4J8M,152064,high
CJB_3BCS,270,low
CJC_4GGL,3168,medium
CK7_2WEV,48,low
CL6_2XFH,270,low
CL9_2ZIA,198,low
CLM_1USQ,216,low
CLR_1LRI,1000000,high
CLY_3JZ0,106920,high
CMF_2BRK,86400,high
CMG_1H1P,135,low
CMP_2PTM,990,medium
CMW_2W0B,1728,medium
CNQ_4TJU,4,low
CNU_3EWZ,1188,medium
COC_2AJV,6,low
COX_2AW1,50,low
CP6_4KM0,8,low
CP7_2BLC,8,low
CP8_1UTT,2640,medium
CPA_1TQ9,1000000,high
CPB_4O71,60,low
CPF_4BVV,540,medium
CPJ_2A3W,14175,high
CPW_1SYH,264,low
CPZ_1SUO,2,low
CQ0_3S3I,32,low
CQ8_4ZZN,810,medium
CQU_3CQU,36,low
CQW_3CQW,45,low
CR3_1O2H,352,low
CR9_1O2R,480,low
CRB_1NR5,540,medium
CRZ_1TOW,72,low
CS5_3L58,1000000,high
CS9_2QMF,598752,high
CSG_3H5X,1000000,high
CSN_3U96,24,low
CT3_3NDZ,91125,high
CT5_2BRC,1500,medium
CT6_2C68,72,low
CT8_2C69,72,low
CTC_3EGZ,162000,high
CTE_2X68,48,low
CTM_3FEJ,3456,medium
CTP_2XWL,1000000,high
CV7_4UDD,1000000,high
CVD_4AMJ,8748,medium
CVI_3VW1,14040,high
CWC_5AIS,864,medium
CWD_3RTF,24,low
CWU_4CHQ,5808,medium
CX4_3HMP,9,low
CX9_2YBU,36,low
CXA_4IAV,48,low
CXS_2VXV,14580,high
CXW_3TYN,171072,high
CXX_2QEI,4698,medium
CY9_3EKS,655380,high
CYZ_3TKD,135,low
CZE_5DQF,466560,high
CZM_1J3F,21,low
D0T_4CEF,1000000,high
D10_4Y9H,1134,medium
D12_4Y9H,9963,medium
D15_2VX3,1728,medium
D16_4EB4,10368,high
D17_2WJP,228096,high
D1A_2W7X,576,medium
D1G_2FDU,12,low
D1H_2IUZ,9,low
D1M_4EL5,270,low
D1Q_3TK5,69120,high
D23_2B53,18,low
D26_2VCX,4,low
D2B_3NXO,36,low
D2E_3NXT,36,low
D2F_3NXV,324,low
D2G_2FDV,12,low
D2H_3NXY,108,low
D2J_3NZ6,31104,high
D2R_3TD8,1152,medium
D32_3GZ9,3456,medium
D3A_3V66,1002240,high
D3G_2FDW,4,low
D3M_3GL2,8,low
D3Y_4NBI,2376,medium
D46_3TK6,2880,medium
D50_3Q44,15552,high
D54_3QPE,144,low
D55_2VIQ,2592,medium
D5X_4L4Z,108,low
D63_3U08,192,low
D64_2VZ0,6,low
D6I_4BZD,69984,high
D71_3G4I,48,low
D72_3NTG,3240,medium
D7E_5A86,32,low
D7N_4ZZY,59400,high
D7S_3UP0,1000000,high
D80_4QBZ,36,low
D87_3WN4,36,low
D8I_4FPJ,1296,medium
D8T_3SBF,108,low
D8W_3D8W,16,low
D90_3Q3K,960,medium
D94_3D94,4320,medium
D98_4AGZ,512,medium
D99_3ASX,276480,high
D9A_3Q2Z,200448,high
D9H_3MMF,1296,medium
D9Z_3DCC,4,low
DA3_3DAP,1584,medium
DA7_1DL8,324,low
DAH_3TEG,24,low
DAN_2VK6,1620,medium
DAT_3IIM,42768,high
DAU_1R6D,1000000,high
DB4_4MXP,1000000,high
DB8_4MXO,14580,high
DBE_2VKU,10,low
DBH_3SAO,2,low
DBJ_3VQP,60,low
DBS_3CBC,24,low
DC8_2Q70,660,medium
DCB_4A3H,48600,high
DCF_2PGR,11484,high
DCM_1B5E,1188,medium
DCO_1JQN,72,low
DCT_4BWM,1000000,high
DCX_2Z5Y,39366,high
DCZ_1P60,198,low
DD2_3BL9,3240,medium
DDN_1VQ2,11880,high
DDS_3PO4,1000000,high
DE3_3N7H,36,low
DEB_1Z8O,366006,high
DEE_1Y2B,12,low
DEG_1TR7,1215,medium
DEO_1ROS,684288,high
DEQ_3ARP,39609,high
DES_1S9P,171,low
DEX_3MNO,594000,high
DEZ_2BET,216,low
DF6_3VW8,2880,medium
DF9_3DF9,25344,high
DFB_1QV7,4,low
DFW_2BRH,150,low
DG2_2XJF,432,low
DG3_4F4K,1000000,high
DG7_3PG3,331776,high
DGI_3H2Y,42768,high
DGJ_4DO5,45,low
DGL_2DWU,144,low
DGP_2JAO,1188,medium
DGT_4QFZ,1000000,high
DGU_3QPE,216,low
DH1_3F8Y,10368,high
DH2_1GP5,60,low
DHB_4J0I,2,low
DHC_3S2Z,4,low
DHY_4GHG,10,low
DI1_4CKR,1000000,high
DI6_2Q09,396,low
DIF_4ZBQ,120,low
DIU_4LUH,2,low
DIW_3T0X,1188,medium
DK2_2PU2,1056,medium
DK4_3L7C,270,low
DK5_3L7D,2160,medium
DKA_1WBE,8748,medium
DKI_4AAA,576,medium
DKK_3C27,38880,high
DKX_3L79,270,low
DKZ_3L7B,270,low
DLI_2OAG,176,low
DLU_3S3M,2700,medium
DLY_2ATS,324,low
DLZ_4DJA,162,low
DMA_4GP1,1296,medium
DMY_1JUX,27648,high
DN3_4DE2,576,medium
DN6_4DDY,48,low
DN8_4DE3,48,low
DNC_3BWY,12,low
DNF_1GVO,12,low
DO3_2QMI,1000000,high
DOI_2GCQ,14256,high
DOO_4K4O,2904,medium
DOR_2Z26,60,low
DP1_1P6K,23328,high
DP3_1P6I,209952,high
DP8_5AEN,1728,medium
DP9_1ZZS,28512,high
DPB_1Q91,11880,high
DQH_3TVQ,60,low
DQX_3KRR,259200,high
DRM_1Q92,1188,medium
DRO_2W3L,129600,high
DS0_4C5A,132,low
DS4_3W0Y,864000,high
DS5_3W0A,291600,high
DS6_3AZ3,1000000,high
DSD_3FMF,2916,medium
DSK_3L4U,72171,high
DSM_2QB4,4698,medium
DSO_3P6N,1000000,high
DSZ_3TLB,114048,high
DT5_2C6M,720,medium
DTB_3RDQ,10692,high
DTC_4CET,2025,medium
DTP_4QFX,1000000,high
DTQ_3NYV,12,low
DTY_1OF6,24,low
DU4_3T70,71280,high
DUD_2HR6,42768,high
DUN_4DKB,42768,high
DUP_3HZA,1000000,high
DUQ_2Y8C,459270,high
DUR_2I7D,198,low
DUT_4QG0,1000000,high
DW0_2YBT,21,low
DWA_4FRI,4400,medium
DWB_4FRJ,2640,medium
DWD_4FRK,35640,high
DWF_4MXC,110592,high
DWN_4E32,1000000,high
DX1_3JQ6,4,low
DX7_3JQD,2,low
DXC_1OS6,1000000,high
DXG_1ECQ,432,low
DXL_3OZY,144,low
DXW_3TYO,85536,high
DXZ_4EW3,248832,high
DYH_3GBA,71280,high
DZ4_4O3O,1000000,high
DZ9_3HFJ,8,low
DZL_4C7K,176,low
DZO_3E7V,48,low
DZY_4KAN,20,low
E04_1ZQ5,74250,high
E12_1H23,1000000,high
E1S_3TT4,864,medium
E20_4EY7,17820,high
E23_4YSX,576,medium
E2Z_4D34,15552,high
E34_4K8T,6,low
E37_4EFS,1728,medium
E3P_3TVC,15552,high
E41_3ZXH,864,medium
E42_5CBS,144,low
E49_3S9T,864,medium
E4F_4CJ3,156816,high
E5G_3VMP,10935,high
E5S_3WCJ,528,medium
E9P_4ALK,24,low
EA2_2I6K,648,medium
EA4_3RDD,144,low
EAM_5DFC,2088,medium
EAT_4J28,44,low
EBI_3I81,12672,high
EBP_1QW7,252,low
ECA_2XV1,288,low
ED7_3E33,6912,medium
ED9_3WGP,1000000,high
EDT_3RNJ,329238,high
EDU_4OQN,198,low
EEA_3LIL,746496,high
EED_2QGT,66825,high
EEG_3LIK,373248,high
EF2_4V2Y,330,low
EFP_3IG7,1440,medium
EFQ_3IGG,1440,medium
EFT_4EFT,270,low
EFU_4EFU,64,low
EG8_4D30,46656,high
EGR_4JUI,6,low
EHM_2HXT,18,low
EI1_2QAB,24,low
EIN_1ZS0,864,medium
EJZ_3MHU,8,low
EK5_4FV2,4400,medium
EKB_3JVX,16,low
EM6_5FJK,4,low
EMF_2QZZ,12,low
EMU_3T4K,6,low
ENL_3H61,16,low
ENM_2PNU,1000000,high
ENO_3UKJ,20,low
EP4_4EK9,1188,medium
EPA_3HS6,1000000,high
EPB_1Q5D,1000000,high
EPK_4Y2B,144,low
EQN_3KMR,240,low
ER4_3WCM,1944,medium
ERD_2NNL,60,low
ERG_1ZHZ,1000000,high
ESE_4PPS,330,low
ESH_2CF8,511104,high
ESI_1C5R,8,low
ESJ_4D1X,528,medium
ESM_1LHW,2475,medium
ESX_1C5S,8,low
ET1_3ET2,768,medium
ETE_4KLX,531441,high
ETS_4M2W,540,medium
ETV_2NO6,198,low
EVE_3S72,3,low
EVP_5CDP,816750,high
EWQ_3NFR,2,low
EXI_4UGY,3456,medium
EZL_3DD0,12,low
EZT_2P15,89100,high
EZV_3F5X,540,medium
F03_4AJF,4,low
F04_4AJD,2,low
F06_3PLL,32,low
F08_4L31,4,low
F11_2CMF,1000000,high
F13_3G35,48,low
F18_3TNW,36,low
F1P_4BB9,270,low
F1X_3O75,594,medium
F21_2G72,2700,medium
F2U_4OQL,198,low
F33_4BUW,88,low
F34_2W67,29,low
F35_4BUX,88,low
F37_4BUY,88,low
F3A_3TFR,1000000,high
F40_4BU3,2,low
F46_4L8M,1503360,high
F47_4AP7,8,low
F4D_4JZ1,16384,high
F53_3O9G,1000000,high
F5N_3PM4,40,low
F63_3PB5,96,low
F69_3P10,8,low
F6F_4ZQC,648,medium
F6R_2BKX,648,medium
F70_4L33,12,low
F71_3SA6,46656,high
F72_3SA4,77760,high
F76_3WF8,5568,medium
F83_2G8N,720,medium
F91_3PI0,180,low
F95_4QAG,20,low
F98_3AUA,216,low
F9F_4HT3,1728,medium
FA0_4N5V,2,low
FA1_3N7A,60,low
FA3_1V1J,60,low
FB1_2WEH,3,low
FB2_4YX4,2,low
FB4_3LT4,9,low
FBD_3D7D,55296,high
FBF_3PCW,8,low
FBP_4IP7,3564,medium
FBV_2WEG,3,low
FBW_2WEO,2,low
FC2_2EVM,4,low
FC3_2EVC,12,low
FCD_3IU7,4,low
FCF_3FCF,432,low
FCM_4F9M,126720,high
FCW_5ALD,330,low
FDM_1NMX,1188,medium
FDP_2QVU,10692,high
FDU_4OQM,198,low
FEF_2VZ6,19602,high
FER_1UWC,4,low
FF3_2EU3,18,low
FFO_1WOP,155520,high
FG2_3IUB,48,low
FG7_3QIH,6,low
FGH_4O07,243000,high
FHA_3TFS,1000000,high
FHG_4DOA,1000000,high
FHN_2WVT,90,low
FI4_3FI4,162,low
FID_2AGT,330,low
FIH_2D3Z,16,low
FII_2IEJ,629856,high
FIP_1FUY,216,low
FJ2_4LWE,200,low
FJ3_4LWF,4,low
FJ4_4LWG,40,low
FJ5_4LWH,72000,high
FJZ_3MDM,5400,medium
FK9_4AVH,58320,high
FKL_3FKL,360,low
FKN_3FKN,36,low
FKS_4ZUM,236196,high
FLC_3M1X,288,low
FLN_4HKI,2,low
FLP_2AYL,32,low
FLY_3FLY,162,low
FM0_3QT7,69984,high
FM6_3ZHX,2592,medium
FMC_3BL6,66,low
FMN_2ABB,972,medium
FMO_4U2Z,2025,medium
FMV_3TKC,118800,high
FNN_3VGN,6,low
FNT_4BQY,8,low
FNU_3SSJ,1188,medium
FO5_3TP0,1440,medium
FOL_1PJ6,3456,medium
FOM_4OOE,216,low
FOO_2J9Y,576,medium
FOT_3W1A,2,low
FP0_3FP0,90,low
FPM_3BFF,13068,high
FPP_4H8E,944784,high
FPQ_3VK5,944784,high
FPS_3VKB,1000000,high
FPW_3TUC,192,low
FR8_1QXL,139968,high
FRG_1M48,1080,medium
FRX_2IEI,1080,medium
FSA_3DJE,4320,medium
FSK_4JBY,54,low
FSN_1OYT,170368,high
FT1_3AM4,18,low
FT6_2NW9,48,low
FTP_1G4T,576,medium
FU5_3R4N,162,low
FU9_3R0T,144,low
FUA_1Q23,1000000,high
FUD_3VNK,108,low
FUN_2XN5,36,low
FVQ_4AV4,135,low
FWD_4U21,24,low
FWF_4U21,62640,high
FXI_2Q1J,82944,high
FXY_1U3W,243,low
FY8_5AOM,180,low
FYA_1B7Y,128304,high
FYI_3IN8,839808,high
FYM_4CJR,1000000,high
FYQ_3IMD,839808,high
FYU_5C3S,2,low
G01_3GIQ,2592,medium
G08_4NJS,627264,high
G0G_2PQZ,5808,medium
G0T_4CEO,1000000,high
G11_3IPH,72,low
G14_2XP4,4,low
G15_2J94,10560,high
G17_4I5H,192,low
G1P_2WF8,270,low
G2C_3JPN,1000000,high
G2M_3JPR,1000000,high
G2P_3Q23,1000000,high
G39_4K1K,360,low
G3D_1ZJ6,256608,high
G3G_2R3W,5808,medium
G3H_2CLK,36,low
G3R_4CWS,792,medium
G3X_3I6M,1000000,high
G58_3L0E,2304,medium
G5A_3HY0,9504,medium
G6A_3E92,8,low
G6I_4EQU,6912,medium
G6P_2WF9,270,low
G6Q_1X9I,972,medium
G6X_3I6Z,1000000,high
G72_3O1D,1000000,high
G73_4I2P,576,medium
G7A_5DUF,720,medium
G7G_5AKV,480,low
G7P_2WF7,810,medium
G8M_4G8M,144,low
G9D_3KI0,15660,high
G9G_3KI2,30,low
G9H_3KI3,348,low
G9I_3KI7,91872,high
G9M_3KI5,47520,high
G9P_3KI4,450,low
G9W_5C5Q,45,low
GA2_4DA6,36,low
GA4_2ZSI,88,low
GAB_2PQF,2,low
GAE_3HPF,432,low
GAP_4OXI,14256,high
GAR_4ZZ1,396,low
GAT_1EFI,90,low
GB1_2F18,14256,high
GB7_3DDG,14256,high
GC2_4C7F,165,low
GC3_4AIU,2970,medium
GCP_2C04,1000000,high
GCV_1H41,180,low
GDE_4J0H,2,low
GDL_1O7A,45,low
GDM_3C11,1000000,high
GDP_4QL3,42768,high
GDR_1N7G,1000000,high
GDU_4HO9,1000000,high
GDV_2J47,360,low
GEK_4GEK,1000000,high
GEN_5AV4,4,low
GEO_2NO0,198,low
GET_3TD1,60750,high
GFB_3ZY6,1000000,high
GFC_3JPT,1000000,high
GFF_2ISO,1000000,high
GFM_3JPS,1000000,high
GG5_4F9Y,25,low
GGB_4Y4G,216,low
GGG_3TY3,72,low
GHE_4AVV,108900,high
GHW_3GI2,6912,medium
GI2_2J7E,450,low
GI4_2J7G,450,low
GIF_4CU7,45,low
GIG_2OH4,1024,medium
GIM_2CEQ,45,low
GIN_2HZ0,864,medium
GJZ_3MDR,2,low
GK1_2ZAZ,18,low
GK5_3D7Z,144,low
GK6_3D83,17280,high
GKK_3HQ5,2376,medium
GL8_1W4L,1000000,high
GLF_3SCS,45,low
GLN_4G4P,36,low
GLP_2Z75,270,low
GLR_1JDF,288,low
GLS_1A8I,495,low
GM6_2DW0,1944,medium
GMF_4B0Q,2304,medium
GN1_4RGG,270,low
GN5_5AL1,240,low
GNG_2ZI7,198,low
GNH_3W6N,42768,high
GNP_4DLS,1000000,high
GO0_3N5H,40,low
GOH_5AOK,12,low
GOM_1N78,769824,high
GOO_3DX4,33,low
GOX_1E6S,45,low
GP0_3SYM,810,medium
GP1_3ST8,270,low
GP2_3EXM,42768,high
GPD_3DR7,1000000,high
GPJ_1G6S,432,low
GPK_3SYR,270,low
GPQ_3T3E,270,low
GQD_5FQP,4320,medium
GRC_4DOB,1000000,high
GRE_4E3F,4,low
GRL_2HB3,627264,high
GRX_4C4S,810,medium
GS6_2J34,7920,medium
GS8_4CHS,5184,medium
GSH_3EIN,1296,medium
GSJ_2J4I,33792,high
GSK_2CJI,5280,medium
GSP_4TMV,1000000,high
GST_3VC1,139968,high
GSU_3AFH,342144,high
GSX_2J95,15840,high
GSZ_2J62,3240,medium
GTB_2YCD,82944,high
GTI_3U0X,540,medium
GTP_4QG1,1000000,high
GTQ_4E3D,2,low
GTS_1A0F,3888,medium
GTX_1K3L,1000000,high
GTZ_1JZ6,45,low
GU7_1FXU,1296,medium
GVF_2UVM,10440,high
GVI_2UVY,48,low
GVJ_2UVZ,64,low
GVK_2UW0,1500,medium
GVN_2UW5,72,low
GVP_2UW9,2250,medium
GVQ_2UW8,12,low
GVR_4ISA,48,low
GWX_4UIB,87480,high
GYR_4V24,57024,high
GYU_4AML,405,low
GZ2_3G2Z,1080,medium
H05_4CWF,12,low
H0V_4CM7,24,low
H0Y_3ZLN,2160,medium
H13_3H3Q,1000000,high
H1D_2FQT,10368,high
H1L_4G2R,64,low
H1S_2FUT,194400,high
H21_2VVV,4608,medium
H24_4FS4,1440,medium
H25_2VWN,6336,medium
H2U_4O8R,5940,medium
H2W_4UVX,2,low
H35_3T4S,6,low
H39_4CJK,427680,high
H4C_4C66,1392,medium
H52_2GNH,174,low
H59_3H59,380160,high
H5S_3H5S,348480,high
H5U_3H5U,371712,high
H6P_3SZU,1944,medium
H70_4NAL,2,low
H89_3U16,192,low
H90_3U17,256,low
HA6_5FPB,8,low
HAJ_4CWR,44,low
HAU_4BDI,360,low
HB2_4R6A,216,low
HBH_1Z1R,1000000,high
HBO_3AIQ,30,low
HBT_3HMV,2160,medium
HBU_1HYO,576,medium
HC2_1ZHW,1000000,high
HC3_1ZHX,1000000,high
HC4_4F8J,4,low
HC8_3HRR,160,low
HC9_3N9Z,1000000,high
HCI_1TOJ,24,low
HCR_1ZHT,1000000,high
HCY_2V95,297000,high
HD2_5ALU,8712,medium
HDI_1LJT,528,medium
HDL_3HK8,72,low
HDT_1OIT,48,low
HFT_4OHA,144,low
HFV_2BU9,46656,high
HH2_2DZB,648,medium
HH6_4EEH,4,low
HHH_2R5V,16,low
HI3_3TYV,384,low
HIE_4NH7,24300,high
HIO_4XDY,4,low
HIS_4OHN,48,low
HKA_4AC4,24,low
HKY_4BVW,30,low
HL0_3QP8,24057,high
HL6_3QP1,297,low
HLD_3VP6,3,low
HLW_4V3Y,46656,high
HM2_2G6P,36,low
HM4_2NQ6,48,low
HM5_2NQ7,48,low
HMH_2F2G,4,low
HMN_1F73,8748,medium
HN2_3EJP,3960,medium
HN3_3EJQ,3960,medium
HN4_3EJR,15840,high
HN5_3EJS,11880,high
HNR_4ARW,144,low
HNV_4ATT,270,low
HNW_4AUJ,90,low
HPI_1U4G,746496,high
HPK_2PUH,48,low
HPP_3GGP,24,low
HPT_1E2M,36,low
HPZ_2PUJ,8,low
HQ2_3RVH,60,low
HQ6_2W66,87,low
HQ9_3ZDS,720,medium
HR1_2Q6C,279936,high
HR2_2Q6B,1000000,high
HRC_4JWL,8,low
HRD_3RR4,36,low
HRM_2Z5X,2,low
HRO_3W1L,2,low
HSX_4L51,198,low
HT1_403D,720,medium
HTC_1XGJ,24,low
HTD_3AHG,641520,high
HTF_3QP2,2673,medium
HTG_3WU2,174960,high
HTJ_3O84,16,low
HTL_3AHD,41472,high
HUL_4XH6,4,low
HUX_1E66,3,low
HW1_4UGW,128304,high
HW8_4CX5,128304,high
HW9_4CX1,128304,high
HXB_3M8S,1000000,high
HXX_3GL0,4,low
HXY_4URX,132,low
HXZ_3M8R,1000000,high
HY0_3W0O,1000000,high
HY7_4ALW,180,low
I24_2VVT,349920,high
I31_4J7D,8448,medium
I38_2QDT,12,low
I39_3HRB,8,low
I3C_4BVX,10,low
I3S_2P0H,3240,medium
I45_3HLL,144,low
I47_3HL7,3000,medium
I4I_4BGI,595764,high
I50_2R2M,38880,high
I5S_2JDO,139968,high
I5T_5AM1,900,medium
I63_4DRK,466560,high
I6X_4B00,6600,medium
I76_3V51,288,low
I7A_2POU,6,low
I7B_2POV,9,low
I7C_2POW,27,low
I85_3SHE,3600,medium
IA7_4UFZ,4,low
IAC_3FVU,20,low
IAD_1K3U,960,medium
IAG_1K8Z,120,low
IAV_1K7F,240,low
IBM_3ITU,6,low
IBP_4PH9,48,low
IC8_2X38,24,low
ICD_4M10,240,low
ICF_3F78,3,low
ICJ_3AFR,1000000,high
ICR_2FWP,104544,high
ICT_4AJA,576,medium
ID5_1T40,36,low
ID8_3R43,18,low
IDC_2OYL,2025,medium
IDD_1X38,90,low
IDE_1X39,540,medium
IDQ_5AWD,288,low
IEJ_4D6R,3,low
IEO_4BIB,60,low
IES_4CL9,174960,high
IFC_3DZQ,384,low
IFG_1JAK,45,low
IGP_3T44,108,low
IH4_2BJU,1000000,high
IHM_3V9B,10368,high
IHX_3F66,120,low
IHZ_3DKO,96,low
IJ4_4FQ4,648,medium
IJZ_3MJY,2,low
IK1_3ZON,8,low
IK2_2YKV,10368,high
IK8_1Z6E,3456,medium
IKY_4A6V,12,low
ILD_3RGA,1000000,high
IM5_4EB8,792,medium
IM6_3VW6,192,low
IM9_2VV9,17280,high
IMA_1LPG,36864,high
IMJ_3OIG,960,medium
IMN_4JQ4,80,low
IMO_1P9B,14256,high
IMP_2XSQ,1188,medium
IMQ_3EPX,792,medium
IMV_4CHP,3872,medium
IN5_4ITX,15552,high
INE_1D0O,6,low
ING_1UF8,24,low
INI_4GQN,5832,medium
INN_3EDZ,8748,medium
INR_1V0O,242,low
IOP_4EJK,48,low
IP7_2OHU,216,low
IPD_3IKP,90,low
IPE_4NKE,3888,medium
IPL_1QOP,216,low
IPM_3VMK,144,low
IPT_1PX4,720,medium
IPZ_1QY2,2,low
IQB_3FMD,15552,high
IR5_4IR5,256,low
IR6_4IR6,192,low
IRG_4DLI,12,low
IRN_4S25,1188,medium
ISA_1ALW,24,low
ISC_3TG2,2880,medium
ISJ_3UML,2880,medium
ISX_2BVD,2025,medium
IT5_3P5L,120,low
ITA_2NVC,528,medium
ITB_2NVD,88,low
ITE_3S1G,6,low
ITP_4AVX,540,medium
IVK_2XC4,114048,high
IVL_4BG1,2376,medium
IVU_4D3M,3456,medium
IW3_3IMT,4,low
IWD_3T96,24,low
IWH_4UCS,16,low
IX6_3HKW,1000000,high
IXE_4IXE,4,low
IXF_4QHV,8,low
IXG_4IXG,4,low
IXH_3BEA,23760,high
IXV_3WZ8,2304,medium
IXX_2Q72,4698,medium
IXY_3WZ7,414720,high
IYP_4MU4,216,low
IYR_2ZP1,24,low
IYZ_2C3I,432,low
IZ9_4CM8,4,low
IZN_4ALX,445500,high
IZZ_3F2N,648,medium
J01_2XF3,396,low
J0W_5FQS,5400,medium
J1A_3UD5,1000000,high
J2I_3Q32,86400,high
J43_3MHO,144,low
J45_3M40,96,low
J47_4D45,9,low
J4Z_3I68,12,low
J60_3HZT,149688,high
J74_3M2N,144,low
J90_3MHI,48,low
J99_4CTC,33098,high
J9Z_3IKD,216,low
JA1_4D41,3888,medium
JA3_4D44,36,low
JAC_2XXI,11880,high
JAF_4JMO,16,low
JAI_4EPL,32076,high
JAK_4EHZ,90,low
JAN_1SA4,500,low
JAR_3JSW,1584,medium
JB2_4EAB,1000000,high
JB7_4NGM,746496,high
JBI_3TTJ,9504,medium
JBW_4CQ8,12,low
JCF_4UCR,2,low
JD1_4PVY,1512,medium
JD5_4NFK,1512,medium
JDB_4JDB,96,low
JDM_4JD4,384,low
JDR_3M5E,72,low
JDX_4CIF,221184,high
JE2_1KZK,114048,high
JF2_4KWD,1350,medium
JG1_3PPM,7776,medium
JHG_3QBF,456192,high
JHZ_4E2W,1000000,high
JI1_3B3M,42768,high
JI2_3B3N,14256,high
JI3_3DQS,1000000,high
JI4_3JWS,1000000,high
JIN_2HZI,24,low
JJ3_2JJ3,23760,high
JJX_5A0B,345600,high
JK5_3SVP,513216,high
JKF_3TIK,2250,medium
JKK_4XHX,648,medium
JL9_5AL5,16200,high
JMQ_3EPW,792,medium
JMS_3R6I,12,low
JMZ_3NUN,2,low
JN3_4QE6,1000000,high
JNS_4CJU,176,low
JP2_3PX8,2,low
JPC_1YVZ,128,low
JPJ_2OOS,108,low
JPS_2XDA,1080,medium
JQ1_3S92,4176,medium
JR2_4CLE,66,low
JR9_4R3M,6336,medium
JRB_4UCN,45,low
JRR_3NLE,256608,high
JUO_4CLD,45,low
JUS_4BNN,1458,medium
JVE_4UZH,1800,medium
JWS_3PXZ,4,low
JWT_4B4M,32,low
JXM_4UWH,64800,high
JYI_4JYI,480,low
JYM_4CFN,135,low
JZ4_3HTB,12,low
JZ8_3I65,12,low
JZB_3INW,1000000,high
JZC_3INX,1000000,high
JZG_3O5X,7200,medium
JZH_3JY9,90,low
JZI_3JYJ,144,low
JZJ_3K3I,120,low
K02_2UYI,720,medium
K03_2UYM,720,medium
K0I_4ASK,25056,high
K11_3EWH,432,low
K13_3O99,940896,high
K14_3O9A,1000000,high
K1T_4CK3,384912,high
K20_3O9C,1000000,high
K23_3LBK,200,low
K26_2XHM,7776,medium
K2A_3O9B,1000000,high
K2B_2X5W,1000000,high
K2D_3O9F,1000000,high
K2Q_4BQS,2,low
K5E_3K5E,1800,medium
K66_3KXH,72,low
K68_3PVG,12,low
K78_5AI9,10368,high
K80_4JFU,44,low
K88_2WEL,3960,medium
K99_2XZK,810,medium
K9S_4ABB,4,low
K9Y_4K9Y,4608,medium
KAF_3BKK,7776,medium
KAO_4KAO,4608,medium
KAW_3BKL,15552,high
KCH_5A7Q,4,low
KDG_3P93,216,low
KDH_3NG5,120,low
KDM_2XZI,810,medium
KDO_4PF6,270,low
KEL_3B7U,216,low
KFN_2XZJ,1620,medium
KGG_4B78,19800,high
KGW_4BRX,1080,medium
KH3_3VV0,1000000,high
KIM_3CJG,288,low
KJ2_2BRE,1350,medium
KK3_4QAC,60,low
KKA_4BB3,3888,medium
KLG_3RTS,288,low
KLI_3UDL,2880,medium
KLJ_4GUY,576,medium
KLW_4KLW,4,low
KMH_2Y7F,192,low
KMN_5A7B,272160,high
KOT_3G2H,540,medium
KOV_4KOV,116640,high
KP2_4CM3,4,low
KQ7_3KQ7,1000000,high
KQQ_4PNI,38880,high
KQS_5ADZ,48,low
KR1_3LAK,32,low
KRC_3B1M,126720,high
KRG_3SVH,24,low
KRH_4B1F,96,low
KRW_3ZXZ,48,low
KS1_4QMW,264,low
KSF_2ZM1,72,low
KTJ_4KTJ,4,low
KTK_4KTK,25,low
KTZ_4CME,150,low
KXB_3SWW,4752,medium
